,time,.y.,group1,group2,p.adj,p.adj.signif
1,Week_0,score,b12,no_b12,0.728,ns
2,Week_1,score,b12,no_b12,0.317,ns
3,Week_2,score,b12,no_b12,0.289,ns
4,Week_3,score,b12,no_b12,0.184,ns
5,Week_4,score,b12,no_b12,0.804,ns
6,Week_5,score,b12,no_b12,0.545,ns
7,Week_7,score,b12,no_b12,0.096,ns
